"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"11101 - SISK - HCME - Horse Creek Meadows","SISK",11101,"11101U","HCME","Horse Creek Meadows","AF","+","Wilderville","Josephine","OR","1","42 27 03","-123 40 09","01S","-","NAD27",42.45083,-123.67028,"x",664,93,5,"montane meadow","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"89-10",22
"11106 - ARCA - HOME - Home","ARCA",11106,"11106S","HOME","Home","P","+","Arcata","Humboldt","CA","1","40 53 26","-124 08 27","01S","GPS","NAD27",40.89028,-124.14194,"x",10,93,5,"riparian woodland/beach pine",,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,"X",,"X",,"X",,"X",,"X",,"X",,"X",,"X",,"90-",33
"11107 - YOSE - HODG - Hodgdon Meadow","YOSE",11107,"11107U","HODG","Hodgdon Meadow","IP","+","El Portal","Tuolumne","CA","1","37 47 38","-119 51 48","01S","GPS -GARMIN III","NAD83",37.79389,-119.86333,"x",1408,66,15,"montane meadow",,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","90-19,21-",32
"11109 - SEKI - LIME - Lion Meadow","SEKI",11109,"11109U","LIME","Lion Meadow","IP","+","Pinehurst","Fresno/Tulare","CA","1","36 44 43","-118 58 52","01S","Web - Google E.","NAD83",36.74528,-118.98111,"x",1853,66,32,"conif. for./mont. mdw./chap.",,,"X","X","X",,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"91-93,01-10",13
"11110 - SEKI - ZUME - Zumwalt Meadow","SEKI",11110,"11110U","ZUME","Zumwalt Meadow","IP","+","Hume","Fresno","CA","1","36 47 30","-118 35 47","01S","Web - Google E.","NAD83",36.79167,-118.59639,"x",1280,66,15,"rip./oak wdlnd./conif. for.",,,"X","X","X",,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"91-93,01-10",13
"11111 - TAHO - YUBA - Yuba Pass","TAHO",11111,"11111U","YUBA","Yuba Pass","AF","+","Sattley","Sierra","CA","1","39 37 00","-120 26 30","10S","-","-",39.61667,-120.44167,"-",2040,66,15,"mixed coniferous forest along river",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"91-04",14
"11112 - TAHO - SNFC - Sierra Nevada","TAHO",11112,"11112U","SNFC","Sierra Nevada","AF","+","Sierra City","Sierra","CA","1","39 37 20","-120 31 30","10S","-","-",39.62222,-120.525,"-",1780,66,15,"mixed coniferous forest along river",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"91-04",14
"11113 - BIGB - WHBA - Whites Bar","BIGB",11113,"11113U","WHBA","Whites Bar","AF","+","Big Bar","Trinity","CA","1","40 40 29","-123 17 02","01S","hard copy topo","NAD27",40.67472,-123.285,"x",110,93,5,"Alder-willow riparian corridor",,,"X","X","X","X","X","X","X","X",,,,"X","X","X","X",,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,"91-98,02-05,07-17",23
"11114 - TSS- - TSS- - Teton Science School","TSS-",11114,"11114U","TSS-","Teton Science School","IP","+","Kelly","Teton","WY","1","43 40 20","-110 35 52","01S","ARC Map photo","NAD83",43.67222,-110.59778,"x",2100,64,10,"riparian corridor",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","91-",32
"11115 - SISK - BCBA - Bear Camp","SISK",11115,"11115U","BCBA","Bear Camp","AF","+","Agness","Curry","OR","1","42 36 51","-123 51 04","01S","-","NAD27",42.61417,-123.85222,"x",1341,93,5,"wet meadow",,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"91-03",13
"11116 - SISK - GBCR - Grayback Creek","SISK",11116,"11116U","GBCR","Grayback Creek","AF","+","Williams","Josephine","OR","1","42 09 00","-123 25 22","01S","-","NAD27",42.14972,-123.42389,"x",634,93,5,"mixed brush",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"91-05",15
"11126 - ARCA - PARK - Park","ARCA",11126,"11106S","PARK","Park","P","+","Arcata","Humboldt","CA","1","40 53 42","-124 08 30","01S","GPS","NAD27",40.89472,-124.14278,"x",3,93,5,"beach pine/riparian woodland",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,"X",,"X",,"X",,"X",,"X",,,,,,,,"92-15",24
"11127 - KETC - WACR - Ward Creek","KETC",11127,"11127U","WACR","Ward Creek","AF","+","Ketchikan","Ketchikan Gateway","AK","1","55 25 00","-131 42 00","01M","-","-",55.41667,-131.7,"-",6,94,5,"riparian spruce/hemlock",,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92",1
"11128 - LORI - LORI - Long Ridge","LORI",11128,"11128U","LORI","Long Ridge","AF","+","Harbor","Curry","OR","1","42 13 40","-124 05 50","10S","-","-",42.22778,-124.09722,"-",518,93,5,"mixed forest",,,,"X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-01",10
"11129 - GRFA - BWMA - Beartooth","GRFA",11129,"11129U","BWMA","Beartooth","S","+","Holter Dam","Lewis and Clark","MT","1","46 56 01","-111 54 55","01S","-","NAD83",46.93361,-111.91528,"x",1158,65,10,"riparian woodland",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","92-",31
"11130 - TAHO - FREE - Freeman Meadow","TAHO",11130,"11130U","FREE","Freeman Meadow","AF","+","Clio","Sierra","CA","1","39 40 00","-120 36 00","01M","-","-",39.66667,-120.6,"-",2042,66,15,"riparian willow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"92-04",13
"11131 - TAHO - CAVA - Carman Valley","TAHO",11131,"11131U","CAVA","Carman Valley","AF","+","Calpine","Sierra","CA","1","39 42 00","-120 27 00","01M","-","-",39.7,-120.45,"-",1494,66,15,"pine/fir forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","L","L",,,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,"92-06,08-10",18
"11132 - TAHO - PZAZ - Perazzo Meadow","TAHO",11132,"11132U","PZAZ","Perazzo Meadow","AF","+","Sierraville","Sierra","CA","1","39 28 30","-120 23 09","01S","GPS","NAD83",39.475,-120.38583,"x",2012,66,15,"riparian willow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,"92-04,08-",28
"11133 - FLAT - CEFO - Coram Forest","FLAT",11133,"11133U","CEFO","Coram Forest","AF","+","Martin City","Flathead","MT","1","48 22 33","-113 58 35","01S","Paper map","NAD27",48.3725,-113.97639,"-",1244,64,10,"undisturbed mixed forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11134 - FLAT - HIME - Hillary Meadow","FLAT",11134,"11134U","HIME","Hillary Meadow","AF","+","Martin City","Flathead","MT","1","48 20 48","-113 58 32","01S","Paper map","NAD27",48.34667,-113.97556,"-",1109,64,10,"wet meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11135 - FLAT - SIMO - Sixmile Mountain","FLAT",11135,"11135U","SIMO","Sixmile Mountain","AF","+","Swan Lake","Lake","MT","1","47 56 46","-113 52 05","01S","Paper map","NAD27",47.94611,-113.86806,"-",1067,64,10,"mixed forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11136 - FLAT - SWOX - Swan Oxbow 2","FLAT",11136,"11136U","SWOX","Swan Oxbow 2","AF","+","Swan Lake","Lake","MT","1","47 52 49","-113 50 56","01S","Paper map","NAD27",47.88028,-113.84889,"-",939,64,10,"dry meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11137 - FLAT - SRNA - Swan River Natural Area","FLAT",11137,"11137U","SRNA","Swan River Natural Area","AF","+","Swan Lake","Lake","MT","1","47 51 00","-113 51 31","01S","Paper map","NAD27",47.85,-113.85861,"-",943,64,10,"wet meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11138 - FLAT - SICR - Simpson Creek","FLAT",11138,"11138U","SICR","Simpson Creek","AF","+","Condon","Missoula","MT","1","47 35 28","-113 41 44","01S","Paper map","NAD27",47.59111,-113.69556,"-",1195,64,10,"mixed woodland",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11139 - MTBA - FRLA - Frog Lake","MTBA",11139,"11139U","FRLA","Frog Lake","AF","+","Darrington","Snohomish","WA","1","48 12 28","-121 34 33","01S","GPS -SPORTTRAK","NAD83",48.20778,-121.57583,"x",317,67,9,"dry mixed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11140 - MTBA - MUCR - Murphy Creek","MTBA",11140,"11140U","MUCR","Murphy Creek","AF","+","Darrington","Snohomish","WA","1","48 11 25","-121 31 08","01S","-","-",48.19028,-121.51889,"-",244,67,9,"disturbed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"92-04",13
"11141 - MTBA - BELA - Beaver Lake","MTBA",11141,"11141S","BELA","Beaver Lake","AF","+","Silverton","Snohomish","WA","1","48 09 43","-121 26 55","01S","GPS -SPORTTRAK","NAD83",48.16194,-121.44861,"x",299,67,9,"mixed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11142 - MTBA - COPC - Copper Creek","MTBA",11142,"11142U","COPC","Copper Creek","AF","+","Silverton","Snohomish","WA","1","48 08 20","-121 38 20","10S","-","-",48.13889,-121.63889,"-",512,67,9,"boggy coniferous forest",,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92",1
"11143 - MTBA - PECR - Perry Creek","MTBA",11143,"11143U","PECR","Perry Creek","AF","+","Silverton","Snohomish","WA","1","48 03 44","-121 30 50","01S","GPS -SPORTTRAK","NAD83",48.06222,-121.51389,"x",512,67,9,"coniferous rainforest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11144 - MTBA - MCLA - Monte Cristo Lake","MTBA",11144,"11144U","MCLA","Monte Cristo Lake","AF","+","Silverton","Snohomish","WA","1","48 03 03","-121 25 57","01S","GPS -SPORTTRAK","NAD83",48.05083,-121.4325,"x",610,67,9,"wet meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"92-10",19
"11145 - WENA - TIME - Timothy Meadow","WENA",11145,"11145U","TIME","Timothy Meadow","AF","+","Easton","Yakima","WA","1","47 04 51","-121 15 33","01S","GPS -SPORTTRAK","NAD83",47.08083,-121.25917,"x",951,67,9,"marsh",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11146 - WENA - QUCR - Quartz Creek 1","WENA",11146,"11146S","QUCR","Quartz Creek 1","AF","+","Cliffdell","Kittitas","WA","1","47 01 14","-121 07 42","01S","Paper map","NAD27",47.02056,-121.12833,"-",853,67,9,"alder corridor",,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92",1
"11147 - WENA - TWPO - Two Point","WENA",11147,"11147U","TWPO","Two Point","AF","+","Cliffdell","Kittitas","WA","1","46 57 44","-120 55 38","01S","GPS -SPORTTRAK","NAD83",46.96222,-120.92722,"x",1512,85,9,"montane meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11148 - WENA - PLVA - Pleasant Valley","WENA",11148,"11148U","PLVA","Pleasant Valley","AF","+","Goose Prairie","Yakima","WA","1","46 56 47","-121 18 45","01S","GPS -SPORTTRAK","NAD83",46.94639,-121.3125,"x",1000,67,9,"open meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11149 - WENA - RASP - Rattlesnake Spring","WENA",11149,"11149U","RASP","Rattlesnake Spring","AF","+","Cliffdell","Yakima","WA","1","46 48 12","-121 03 07","01S","GPS -SPORTTRAK","NAD83",46.80333,-121.05194,"x",817,85,9,"riparian grove",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11150 - WENA - DECR - Deep Creek","WENA",11150,"11150U","DECR","Deep Creek","AF","+","Goose Prairie","Yakima","WA","1","46 46 48","-121 20 23","01S","Paper map","NAD27",46.78,-121.33972,"-",1195,67,5,"fir/spruce bog",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"92-04",13
"11151 - UMAT - BUCR - Buzzard Creek","UMAT",11151,"11151U","BUCR","Buzzard Creek","AF","+","Elgin","Union","OR","1","45 50 05","-117 56 21","01S","GPS -SPORTTRAK","NAD83",45.83472,-117.93917,"x",1524,65,10,"open mixed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"92-08",17
"11152 - UMAT - BRME - Brock Meadow","UMAT",11152,"11152U","BRME","Brock Meadow","AF","+","Elgin","Union","OR","1","45 48 55","-117 51 35","01S","GPS -SPORTTRAK","NAD83",45.81528,-117.85972,"x",1244,65,10,"meadow complex",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"92-08",17
"11153 - UMAT - FRME - Fry Meadow","UMAT",11153,"11153U","FRME","Fry Meadow","AF","+","Elgin","Union","OR","1","45 48 03","-117 50 18","01S","GPS -SPORTTRAK","NAD83",45.80083,-117.83833,"x",1280,65,10,"meadow complex",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"92-08",17
"11154 - UMAT - CORI - Coyote Ridge","UMAT",11154,"11154U","CORI","Coyote Ridge","AF","+","Gibbon","Umatilla","OR","1","45 44 24","-118 10 13","01S","GPS -SPORTTRAK","NAD83",45.74,-118.17028,"x",1341,65,10,"mixed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"92-08",17
"11155 - UMAT - BMME - Buck Mountain Meadow","UMAT",11155,"11155U","BMME","Buck Mountain Meadow","AF","+","Elgin","Union","OR","1","45 40 43","-118 06 40","01S","GPS -SPORTTRAK","NAD83",45.67861,-118.11111,"x",1378,65,10,"moist-dry meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"92-08",17
"11156 - UMAT - PHCR - Phillips Creek","UMAT",11156,"11156U","PHCR","Phillips Creek","AF","+","Elgin","Union","OR","1","45 35 15","-118 01 50","01S","GPS -SPORTTRAK","NAD83",45.5875,-118.03056,"x",975,65,10,"coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"92-08",17
"11157 - WILL - IKEN - Ikenick","WILL",11157,"11157U","IKEN","Ikenick","AF","+","McKenzie Bridge","Linn","OR","1","44 22 12","-122 01 09","01S","GPS -ETRIX LEGE","NAD83",44.37,-122.01917,"x",1006,67,5,"open meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11158 - WILL - FIPR - Fingerboard Prairie","WILL",11158,"11158U","FIPR","Fingerboard Prairie","AF","+","McKenzie Bridge","Lane","OR","1","44 12 01","-121 57 15","01S","GPS -ETRIX LEGE","NAD83",44.20028,-121.95417,"x",1195,67,5,"meadow complex",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11159 - WILL - STFL - Strube Flat","WILL",11159,"11159U","STFL","Strube Flat","AF","+","Blue River","Lane","OR","1","44 08 24","-122 15 12","01S","Paper map","NAD83",44.14,-122.25333,"-",488,67,5,"riparian woodland",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"92-04",13
"11160 - WILL - CLCU - Clear Cut","WILL",11160,"11160U","CLCU","Clear Cut","AF","+","Finn Rock","Lane","OR","1","43 57 14","-122 12 17","01S","GPS -ETRIX LEGE","NAD83",43.95389,-122.20472,"x",1292,67,5,"open mixed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,"X","X","X","X","X","X",,,,,,,,,,,,,,,"92-07,09-11",19
"11161 - WILL - MAPR - Major Prairie","WILL",11161,"11161U","MAPR","Major Prairie","AF","+","Westfir","Lane","OR","1","43 53 21","-122 15 54","01S","Paper map","NAD83",43.88917,-122.265,"-",701,67,5,"meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"92-06",15
"11162 - WILL - BRCR - Brock Creek","WILL",11162,"11162U","BRCR","Brock Creek","AF","+","Oakridge","Lane","OR","1","43 52 50","-122 12 26","01S","GPS -ETRIX LEGE","NAD83",43.88056,-122.20722,"x",792,67,5,"buckthorn scrub",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11163 - SIUS - MAPE - Mary's Peak","SIUS",11163,"11163U","MAPE","Mary's Peak","AF","+","Blodgett","Benton","OR","1","44 30 58","-123 29 51","01S","CALTOPO","NAD83",44.51611,-123.4975,"-",274,93,5,"mature mixed coniferous forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11164 - SIUS - NECR - Nettle Creek","SIUS",11164,"11164U","NECR","Nettle Creek","AF","+","Harlan","Lincoln","OR","1","44 30 20","-123 48 50","10S","CALTOPO","NAD83",44.50556,-123.81389,"-",256,93,5,"douglas-fir forest",,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92",1
"11165 - SIUS - HOMS - Homestead","SIUS",11165,"11165U","HOMS","Homestead","AF","+","Harlan","Lincoln","OR","1","44 30 27","-123 37 46","01S","GPS -ETRIX LEGE","NAD83",44.5075,-123.62944,"x",207,93,5,"douglas-fir forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"92-10",19
"11166 - SIUS - BERI - Beaver Ridge","SIUS",11166,"11166U","BERI","Beaver Ridge","AF","+","Greenleaf","Lincoln","OR","1","44 18 49","-123 50 20","01S","GPS -ETRIX LEGE","NAD83",44.31361,-123.83889,"x",158,93,5,"disturbed douglas-fir forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"92-10",19
"11167 - SIUS - COUC - Cougar Creek","SIUS",11167,"11167U","COUC","Cougar Creek","AF","+","Greenleaf","Lane","OR","1","44 16 31","-123 51 51","01S","GPS -ETRIX LEGE","NAD83",44.27528,-123.86417,"x",259,93,5,"douglas-fir forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"92-10",19
"11168 - SIUS - CRCR - Crab Creek","SIUS",11168,"11168U","CRCR","Crab Creek","AF","+","Greenleaf","Lane","OR","1","44 15 06","-123 51 34","01S","GPS -ETRIX LEGE","NAD83",44.25167,-123.85944,"x",219,93,5,"disturbed douglas-fir forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"92-10",19
"11169 - FREM - SYRI - Sycan River","FREM",11169,"11169U","SYRI","Sycan River","AF","+","Paisley","Lake","OR","1","42 40 24","-120 49 03","01S","GPS -ETRIX LEGE","NAD83",42.67333,-120.8175,"x",2003,85,9,"riparian meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11170 - FREM - DEAD - Deadhorse","FREM",11170,"11170U","DEAD","Deadhorse","AF","+","Paisley","Lake","OR","1","42 35 25","-120 49 03","01S","GPS -ETRIX LEGE","NAD83",42.59028,-120.8175,"x",1944,85,9,"willow-dominated meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11171 - FREM - COLC - Cold Creek","FREM",11171,"11171U","COLC","Cold Creek","AF","+","Bly","Klamath","OR","1","42 35 04","-120 55 17","01S","Paper map","NAD27",42.58444,-120.92139,"-",1926,85,9,"wet meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"92-04",13
"11172 - FREM - AUCR - Augur Creek","FREM",11172,"11172U","AUCR","Augur Creek","AF","+","Paisley","Lake","OR","1","42 31 11","-120 42 46","01S","GPS -ETRIX LEGE","NAD83",42.51972,-120.71278,"x",1847,85,9,"riparian meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11173 - FREM - ISLA - Island","FREM",11173,"11173U","ISLA","Island","AF","+","Paisley","Lake","OR","1","42 30 25","-120 39 53","01S","GPS -ETRIX LEGE","NAD83",42.50694,-120.66472,"x",1628,85,9,"riparian meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11174 - FREM - SWCR - Swamp Creek","FREM",11174,"11174U","SWCR","Swamp Creek","AF","+","Valley Falls","Lake","OR","1","42 25 38","-120 34 01","01S","GPS -ETRIX LEGE","NAD83",42.42722,-120.56694,"x",1658,85,9,"riparian meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"92-11",20
"11175 - MESA - COON - Coon Creek","MESA",11175,"11175U","COON","Coon Creek","AF",,"Mesa","Mesa","CO","1","39 08 00","-108 05 30","10S","-","-",39.13333,-108.09167,"-",3002,62,16,"riparian",,,,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-97",6
"11177 - DOUG - DOUG - Douglas Creek","DOUG",11177,"11177U","DOUG","Douglas Creek","IB","+","East Wenatchee","Douglas","WA","1","47 29 18","-119 54 00","01S","-","-",47.48833,-119.9,"-",463,89,9,"desert riparian",,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,"93-14",22
"11178 - MFNM - MUSK - Muskeg","MFNM",11178,"11178U","MUSK","Muskeg","AF","+","Ketchikan","Ketchikan Gateway","AK","1","55 23 40","-130 59 40","10S","-","-",55.39444,-130.99444,"-",46,94,5,"muskeg",,,,,"X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93-96",4
"11179 - MFNM - PBOG - Oldgrowth","MFNM",11179,"11179U","PBOG","Oldgrowth","AF","+","Ketchikan","Ketchikan Gateway","AK","1","55 24 40","-131 01 40","10S","-","-",55.41111,-131.02778,"-",15,94,5,"spruce/hemlock forest",,,,,"X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93-96",4
"11180 - SWOR - CRBC - Carberry Creek","SWOR",11180,"11180U","CRBC","Carberry Creek","AF","+","Ruch","Jackson","OR","1","42 01 32","-123 09 48","01S","-","-",42.02556,-123.16333,"-",566,93,5,"mixed-conifer/hardwood forest",,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93-97",5
"11181 - MYRC - MYRC - Myer Creek","MYRC",11181,"11181U","MYRC","Myer Creek","P","+","Twisp","Okanogan","WA","1","48 23 00","-120 15 00","01M","-","-",48.38333,-120.25,"-",671,67,9,"mixed conifer/deciduous forest",,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93-97",5
"11182 - SKUN - SKUN - Skunk Cabbage","SKUN",11182,"11182U","SKUN","Skunk Cabbage","FP","+","Albert Canyon","n/a","BC","1","51 05 00","-117 55 30","10S","-","-",51.08333,-117.925,"-",610,64,10,"riparian shrub/forest",,,,,"X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93-02",10
"11183 - RNP- - LLMC - Lost Man Creek","RNP-",11183,"11183U","LLMC","Lost Man Creek","IP","+","Orick","Humboldt","CA","1","41 19 40","-124 01 20","10S","-","-",41.32778,-124.02222,"-",46,93,5,"riparian",,,,,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93-99",7
"11184 - AMB- - AMB- - A. M. Bailey","AMB-",11184,"11184U","AMB-","A. M. Bailey","AF","?","Silverthorne","Summit","CO","1","39 42 00","-106 10 00","01M","-","-",39.7,-106.16667,"-",2972,62,16,"willow carr",,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93-97",5
"11186 - RFSL - BOND - Bondo Mine","RFSL",11186,"11186U","BOND","Bondo Mine","AF","+","Orleans","Humboldt","CA","1","41 19 12","-123 31 20","01S","GPS","NAD27",41.31972,-123.52333,"x",122,93,5,"riparian woodland",,,,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-98",7
